,id,name,team,overall,value_eur,player_positions,team_position,ST,LW,RW,CAM,LM,RM,CDM,LB,CB,RB,Overall attacking,Overall defending
38,188567,P. Aubameyang,Arsenal,88,57000000,"ST, LM",LM,84+3,83+3,83+3,81+3,81+3,81+3,58+3,61+3,51+3,61+3,81.2,29.3
39,208722,S. Mané,Liverpool,88,62000000,"LW, LM",LW,85+3,86+3,86+3,85+3,85+3,85+3,63+3,64+3,57+3,64+3,79.6,40.7
40,212218,A. Laporte,Manchester City,87,56500000,"CB, LB",LCB,65+2,64+2,64+2,67+2,67+2,67+2,82+2,80+2,85+2,80+2,62.0,88.3
41,218667,Bernardo Silva,Manchester City,87,64000000,"RW, CAM, CM",RW,77+2,85+2,85+2,85+2,86+2,86+2,69+2,67+2,57+2,67+2,73.8,49.3
42,200145,Casemiro,Real Madrid,87,53500000,CDM,CDM,74+3,71+3,71+3,74+3,72+3,72+3,84+3,79+3,84+3,79+3,68.4,85.7
43,200104,H. Son,Tottenham Hotspur,87,60000000,"CF, LM",LM,83+3,86+3,86+3,85+3,85+3,85+3,63+3,63+3,53+3,63+3,79.2,38.3
44,135507,Fernandinho,Manchester City,87,19500000,CDM,CDM,74+3,75+3,75+3,78+3,76+3,76+3,84+3,80+3,82+3,80+3,72.6,84.3
45,164240,Thiago Silva,Paris Saint-Germain,87,18500000,CB,LCB,66+3,66+3,66+3,69+3,68+3,68+3,82+3,78+3,84+3,78+3,64.4,87.0
46,165153,K. Benzema,Real Madrid,87,45000000,"CF, ST",CF,83+3,83+3,83+3,84+3,82+3,82+3,62+3,58+3,54+3,58+3,82.0,29.7
47,172871,J. Vertonghen,Tottenham Hotspur,87,32500000,CB,LCB,69+3,68+3,68+3,70+3,70+3,70+3,82+3,80+3,84+3,80+3,67.8,88.0
48,175943,D. Mertens,Napoli,87,40000000,"CF, ST",SUB,78+3,86+3,86+3,85+3,85+3,85+3,60+3,60+3,46+3,60+3,71.4,35.0
49,178603,M. Hummels,Borussia Dortmund,87,41000000,CB,LCB,68+3,67+3,67+3,71+3,69+3,69+3,83+3,78+3,84+3,78+3,69.4,88.3
50,184087,T. Alderweireld,Tottenham Hotspur,87,41000000,CB,RCB,66+3,64+3,64+3,67+3,67+3,67+3,83+3,80+3,84+3,80+3,61.6,88.7
51,189332,Jordi Alba,FC Barcelona,87,40000000,LB,LB,76+3,82+3,82+3,81+3,83+3,83+3,81+3,84+3,78+3,84+3,74.8,80.3
52,189509,Thiago,FC Bayern München,87,50000000,"CM, CAM, CDM",CDM,75+3,82+3,82+3,84+3,82+3,82+3,78+3,75+3,69+3,75+3,75.4,68.3
53,193041,K. Navas,Real Madrid,87,30500000,GK,SUB,,,,,,,,,,,15.6,18.7
54,198219,L. Insigne,Napoli,87,52000000,"CF, LW, ST",LS,79+3,87+3,87+3,87+3,86+3,86+3,58+3,58+3,44+3,58+3,76.6,31.7
55,222492,L. Sané,Manchester City,86,61000000,LW,SUB,82+2,84+2,84+2,83+2,83+2,83+2,59+2,61+2,52+2,61+2,80.2,34.3
56,207865,Marquinhos,Paris Saint-Germain,86,51500000,"CB, CDM",RCB,63+3,66+3,66+3,68+3,70+3,70+3,82+3,81+3,83+3,81+3,59.6,86.7
57,232363,M. Škriniar,Inter,86,52000000,CB,LCB,58+2,58+2,58+2,60+2,62+2,62+2,79+2,76+2,84+2,76+2,55.4,87.3
58,199556,M. Verratti,Paris Saint-Germain,86,54500000,"CM, CDM",RCM,69+3,78+3,78+3,81+3,80+3,80+3,83+3,79+3,76+3,79+3,68.8,81.0
59,205600,S. Umtiti,FC Barcelona,86,50000000,CB,SUB,68+3,66+3,66+3,67+3,67+3,67+3,80+3,79+3,84+3,79+3,67.2,86.7
60,186153,W. Szczęsny,Juventus,86,37500000,GK,GK,,,,,,,,,,,17.2,15.0
61,212622,J. Kimmich,FC Bayern München,86,48000000,"RB, CM, CDM",RB,76+3,80+3,80+3,81+3,82+3,82+3,82+3,81+3,78+3,81+3,77.0,79.0
62,197781,Isco,Real Madrid,86,51000000,"CAM, CM, LW",SUB,76+3,83+3,83+3,84+3,81+3,81+3,70+3,67+3,62+3,67+3,72.6,57.7
63,201942,Roberto Firmino,Liverpool,86,52000000,"CF, ST, CAM",CF,83+3,83+3,83+3,84+3,83+3,83+3,73+3,69+3,67+3,69+3,80.4,55.3
64,168651,I. Rakitić,FC Barcelona,86,38000000,"CM, CDM",RCM,76+3,79+3,79+3,81+3,80+3,80+3,79+3,75+3,72+3,75+3,78.2,73.7
65,180206,M. Pjanić,Juventus,86,42500000,"CM, CDM",CDM,71+3,78+3,78+3,81+3,80+3,80+3,80+3,77+3,73+3,77+3,71.8,74.7
66,183898,A. Di María,Paris Saint-Germain,86,39000000,"RW, LW",LW,78+3,84+3,84+3,84+3,83+3,83+3,66+3,66+3,57+3,66+3,74.6,49.3
67,184344,L. Bonucci,Juventus,86,28500000,CB,RCB,64+3,62+3,62+3,68+3,65+3,65+3,82+3,75+3,84+3,75+3,62.2,85.3
68,189242,Coutinho,FC Bayern München,86,46500000,"LW, CM",LCM,78+3,84+3,84+3,85+3,83+3,83+3,68+3,66+3,58+3,66+3,73.2,52.0
69,189513,Parejo,Valencia CF,86,41000000,CM,RCM,74+2,76+2,76+2,80+2,77+2,77+2,78+2,71+2,69+2,71+2,77.6,67.3
70,189596,T. Müller,FC Bayern München,86,43500000,"CAM, RM, RW",SUB,82+3,81+3,81+3,81+3,80+3,80+3,68+3,67+3,62+3,67+3,82.4,49.0
71,192387,C. Immobile,Lazio,86,44500000,ST,ST,83+3,79+3,79+3,78+3,76+3,76+3,57+3,57+3,54+3,57+3,76.4,33.0
72,193301,A. Lacazette,Arsenal,86,46000000,ST,ST,83+3,82+3,82+3,82+3,81+3,81+3,62+3,59+3,55+3,59+3,78.4,33.7
73,235243,M. de Ligt,Juventus,85,50000000,CB,SUB,67+3,63+3,63+3,66+3,65+3,65+3,79+3,76+3,82+3,76+3,60.6,82.7
74,230621,G. Donnarumma,Milan,85,41500000,GK,GK,,,,,,,,,,,15.6,16.7
75,228702,F. de Jong,FC Barcelona,85,52000000,"CM, CDM",LCM,74+3,80+3,80+3,82+3,82+3,82+3,82+3,79+3,76+3,79+3,72.8,75.7
76,201535,R. Varane,Real Madrid,85,45000000,CB,RCB,62+3,61+3,61+3,64+3,64+3,64+3,79+3,77+3,83+3,77+3,55.2,86.0
77,212190,N. Süle,FC Bayern München,85,46500000,CB,RCB,57+2,50+2,50+2,54+2,54+2,54+2,77+2,75+2,83+2,75+2,50.6,87.0
78,223848,S. Milinković-Savić,Lazio,85,50500000,"CM, CAM",RDM,81+2,78+2,78+2,82+2,79+2,79+2,80+2,76+2,79+2,76+2,77.8,74.7
79,231866,Rodri,Manchester City,85,47000000,"CDM, CM",SUB,73+2,74+2,74+2,78+2,76+2,76+2,82+2,78+2,80+2,78+2,69.2,81.3
80,208421,Saúl,Atlético Madrid,85,49500000,"CM, LM, RM",LCM,80+3,79+3,79+3,81+3,79+3,79+3,80+3,78+3,78+3,78+3,78.2,77.3
81,209499,Fabinho,Liverpool,85,45000000,CDM,CDM,73+3,74+3,74+3,76+3,76+3,76+3,84+3,81+3,83+3,81+3,69.2,85.0
82,216267,A. Robertson,Liverpool,85,43500000,LB,LB,71+2,77+2,77+2,76+2,79+2,79+2,80+2,82+2,77+2,82+2,64.0,81.3
83,216460,J. Giménez,Atlético Madrid,85,45000000,CB,RCB,56+2,52+2,52+2,51+2,54+2,54+2,74+2,74+2,83+2,74+2,52.8,86.7
84,220440,C. Lenglet,FC Barcelona,85,45000000,CB,LCB,63+2,64+2,64+2,66+2,67+2,67+2,81+2,79+2,83+2,79+2,58.8,84.7
85,212198,Bruno Fernandes,Sporting CP,85,49000000,"CAM, CM",RCM,79+2,83+2,83+2,84+2,84+2,84+2,77+2,74+2,68+2,74+2,78.6,62.3
86,199482,A. Lopes,Olympique Lyonnais,85,33500000,GK,GK,,,,,,,,,,,19.6,13.7
87,185122,P. Gulácsi,RB Leipzig,85,31000000,GK,GK,,,,,,,,,,,17.6,20.3
88,189117,R. Bürki,Borussia Dortmund,85,32000000,GK,GK,,,,,,,,,,,18.0,13.3
89,192505,R. Lukaku,Inter,85,46000000,ST,LS,81+3,76+3,76+3,75+3,75+3,75+3,56+3,54+3,53+3,54+3,78.6,30.0
90,192774,K. Manolas,Napoli,85,37500000,CB,RCB,51+3,50+3,50+3,50+3,53+3,53+3,74+3,75+3,83+3,75+3,41.6,87.7
91,194404,Neto,FC Barcelona,85,31000000,GK,SUB,,,,,,,,,,,17.6,15.3
92,197445,D. Alaba,FC Bayern München,85,38000000,"LB, CB",LB,76+3,78+3,78+3,78+3,79+3,79+3,80+3,81+3,78+3,81+3,73.8,80.0
93,201399,M. Icardi,Inter,85,46000000,ST,RES,83+3,75+3,75+3,76+3,73+3,73+3,52+3,51+3,50+3,51+3,76.2,29.7
94,204963,Carvajal,Real Madrid,85,38000000,RB,RB,68+3,74+3,74+3,74+3,78+3,78+3,82+3,83+3,80+3,83+3,62.4,83.7
95,208670,H. Ziyech,Ajax,85,45000000,"CAM, RW",RAM,76+3,82+3,82+3,83+3,83+3,83+3,69+3,66+3,57+3,66+3,74.0,46.7
96,41236,Z. Ibrahimović,LA Galaxy,85,14000000,ST,ST,82+4,77+4,77+4,80+4,75+4,75+4,57+4,50+4,52+4,50+4,80.8,29.7
97,143076,A. Gómez,Atalanta,85,34000000,"CAM, CF, ST",CAM,75+3,83+3,83+3,83+3,82+3,82+3,60+3,60+3,48+3,60+3,70.2,38.0
98,167664,G. Higuaín,Juventus,85,34500000,ST,SUB,82+3,78+3,78+3,78+3,75+3,75+3,52+3,49+3,47+3,49+3,79.2,25.0
99,170890,B. Matuidi,Juventus,85,25000000,"CDM, CM",SUB,72+3,75+3,75+3,76+3,76+3,76+3,82+3,82+3,81+3,82+3,71.4,85.0
100,173731,G. Bale,Real Madrid,85,37500000,"RW, LW, ST",SUB,84+3,84+3,84+3,82+3,83+3,83+3,69+3,70+3,66+3,70+3,84.0,53.7
101,176676,Marcelo,Real Madrid,85,28000000,LB,LB,80+3,84+3,84+3,83+3,84+3,84+3,81+3,81+3,79+3,81+3,77.0,77.3
102,177413,A. Witsel,Borussia Dortmund,85,31500000,"CDM, CM",LDM,77+3,77+3,77+3,80+3,78+3,78+3,83+3,80+3,82+3,80+3,77.4,83.3
103,191043,Alex Sandro,Juventus,85,33000000,"LB, LM",LB,73+3,76+3,76+3,75+3,78+3,78+3,80+3,83+3,81+3,83+3,72.8,83.0
104,192629,Iago Aspas,RC Celta,85,34500000,"ST, RW",RS,82+2,83+2,83+2,82+2,81+2,81+2,57+2,56+2,49+2,56+2,81.6,26.0
105,193747,Koke,Atlético Madrid,85,40500000,"RM, LM, CM",RM,77+3,80+3,80+3,82+3,82+3,82+3,81+3,77+3,74+3,77+3,72.8,72.0
106,198710,J. Rodríguez,Real Madrid,85,40500000,"CAM, CM, RM",SUB,78+3,81+3,81+3,83+3,80+3,80+3,67+3,62+3,57+3,62+3,82.2,45.7
107,199914,Allan,Napoli,85,38000000,CM,RCM,76+2,79+2,79+2,81+2,81+2,81+2,86+2,83+2,83+2,83+2,69.0,87.3
108,233049,J. Sancho,Borussia Dortmund,84,44500000,"RM, LM",RM,75+2,83+2,83+2,82+2,83+2,83+2,58+2,59+2,47+2,59+2,71.2,37.0
109,235790,K. Havertz,Bayer 04 Leverkusen,84,46000000,"CAM, RM",RF,80+2,82+2,82+2,82+2,82+2,82+2,63+2,62+2,54+2,62+2,78.6,41.0
110,231443,O. Dembélé,FC Barcelona,84,42500000,"RW, LW",SUB,76+3,84+3,84+3,82+3,83+3,83+3,59+3,59+3,47+3,59+3,72.8,35.0
111,206585,Kepa,Chelsea,84,31000000,GK,GK,,,,,,,,,,,24.6,17.7
112,210514,João Cancelo,Manchester City,84,36500000,RB,SUB,74+2,80+2,80+2,79+2,82+2,82+2,79+2,82+2,76+2,82+2,71.0,79.7
113,211117,D. Alli,Tottenham Hotspur,84,41500000,"CAM, CM",CAM,81+3,80+3,80+3,82+3,81+3,81+3,78+3,75+3,74+3,75+3,79.2,67.7
114,220814,L. Hernández,FC Bayern München,84,37500000,"CB, LB",LCB,68+3,70+3,70+3,69+3,72+3,72+3,79+3,82+3,82+3,82+3,67.6,83.7
115,230658,Arthur,FC Barcelona,84,41000000,CM,SUB,74+2,79+2,79+2,82+2,79+2,79+2,79+2,74+2,73+2,74+2,69.6,74.0
116,202556,M. Depay,Olympique Lyonnais,84,40500000,"CF, LW, CAM",LW,80+3,82+3,82+3,82+3,82+3,82+3,58+3,56+3,50+3,56+3,76.0,26.7
117,209658,L. Goretzka,FC Bayern München,84,40000000,"CM, CAM, CDM",SUB,79+3,80+3,80+3,81+3,81+3,81+3,79+3,78+3,76+3,78+3,76.6,73.0
118,212194,J. Brandt,Borussia Dortmund,84,40500000,"CAM, LM, RM",SUB,78+2,82+2,82+2,83+2,82+2,82+2,63+2,60+2,51+2,60+2,74.8,36.7
119,213345,K. Coman,FC Bayern München,84,40500000,"LM, RM, LW",LW,78+2,83+2,83+2,82+2,82+2,82+2,54+2,55+2,43+2,55+2,72.4,25.7
120,206113,S. Gnabry,FC Bayern München,84,39500000,"RM, LM, LW",RW,78+2,82+2,82+2,81+2,81+2,81+2,62+2,62+2,53+2,62+2,72.6,44.0
121,216594,N. Fekir,Real Betis,84,39000000,CAM,RM,79+3,83+3,83+3,83+3,82+3,82+3,60+3,56+3,50+3,56+3,74.8,31.0
122,192563,B. Leno,Arsenal,84,26000000,GK,GK,,,,,,,,,,,17.2,20.0
123,198706,Luis Alberto,Lazio,84,37500000,"CAM, CM, CF",CM,75+2,81+2,81+2,83+2,81+2,81+2,66+2,62+2,54+2,62+2,73.2,48.3
124,212462,Alex Telles,FC Porto,84,33000000,LB,LB,76+3,80+3,80+3,79+3,82+3,82+3,81+3,82+3,78+3,82+3,75.8,80.0
125,236583,J. Pavlenka,SV Werder Bremen,84,26000000,GK,GK,,,,,,,,,,,17.6,12.0
126,198176,S. de Vrij,Inter,84,31500000,CB,CB,57+3,59+3,59+3,62+3,61+3,61+3,77+3,75+3,81+3,75+3,50.8,86.3
127,201995,Felipe Anderson,West Ham United,84,36500000,LM,RM,76+3,83+3,83+3,82+3,82+3,82+3,69+3,68+3,59+3,68+3,70.6,50.7
128,120533,Pepe,FC Porto,84,6500000,CB,RCB,60+3,58+3,58+3,59+3,60+3,60+3,76+3,75+3,82+3,75+3,53.6,84.3
129,162347,João Moutinho,Wolverhampton Wanderers,84,23500000,CM,LCM,73+3,77+3,77+3,79+3,78+3,78+3,77+3,72+3,70+3,72+3,77.4,70.0
130,167628,S. Ruffier,AS Saint-Étienne,84,19000000,GK,GK,,,,,,,,,,,16.0,12.0
131,168435,S. Sirigu,Torino,84,19000000,GK,GK,,,,,,,,,,,13.8,12.7
132,171877,M. Hamšík,Dalian YiFang FC,84,26500000,CM,CAM,79+3,80+3,80+3,82+3,81+3,81+3,77+3,74+3,71+3,74+3,77.8,69.0
133,172879,Sokratis,Arsenal,84,23000000,CB,RCB,63+3,57+3,57+3,57+3,59+3,59+3,72+3,74+3,82+3,74+3,57.4,85.7
134,176266,Lucas Leiva,Lazio,84,20500000,CDM,LDM,70+3,72+3,72+3,75+3,73+3,73+3,81+3,77+3,79+3,77+3,67.6,82.3
135,176635,M. Özil,Arsenal,84,29500000,"CAM, RW",CAM,74+3,81+3,81+3,83+3,81+3,81+3,55+3,51+3,39+3,51+3,75.2,19.7
136,177610,Javi Martínez,FC Bayern München,84,25500000,"CDM, CB",SUB,64+3,60+3,60+3,65+3,63+3,63+3,80+3,76+3,84+3,76+3,64.4,85.3
137,177683,Y. Sommer,Borussia Mönchengladbach,84,21000000,GK,GK,,,,,,,,,,,16.8,13.3
138,180930,E. Džeko,Roma,84,19500000,ST,ST,82+3,76+3,76+3,78+3,75+3,75+3,62+3,55+3,55+3,55+3,77.6,34.0
139,181291,G. Wijnaldum,Liverpool,84,31000000,"CM, CDM",LCM,77+3,79+3,79+3,80+3,80+3,80+3,79+3,78+3,76+3,78+3,74.2,74.3
140,181458,I. Perišić,FC Bayern München,84,29500000,LM,SUB,81+3,81+3,81+3,80+3,81+3,81+3,71+3,72+3,67+3,72+3,80.2,56.7
141,181783,M. Mandžukić,Juventus,84,19500000,"ST, LW",ST,82+3,76+3,76+3,76+3,76+3,76+3,72+3,70+3,72+3,70+3,81.6,61.0
142,181872,A. Vidal,FC Barcelona,84,23500000,"CM, CDM",SUB,79+3,78+3,78+3,79+3,78+3,78+3,84+3,82+3,84+3,82+3,78.6,85.7
143,183907,J. Boateng,FC Bayern München,84,25000000,CB,SUB,63+3,63+3,63+3,66+3,66+3,66+3,79+3,77+3,82+3,77+3,63.0,85.3
144,184432,Azpilicueta,Chelsea,84,25500000,"RB, CB",RB,66+3,70+3,70+3,71+3,73+3,73+3,82+3,81+3,81+3,81+3,66.6,86.0
145,185020,José Callejón,Napoli,84,24000000,"RM, RW",RM,79+3,83+3,83+3,81+3,81+3,81+3,60+3,63+3,53+3,63+3,77.8,42.7
146,186942,I. Gündoğan,Manchester City,84,31000000,"CM, CDM",SUB,74+3,79+3,79+3,82+3,80+3,80+3,79+3,74+3,72+3,74+3,72.4,72.0
147,187961,Paulinho,Guangzhou Evergrande Taobao FC,84,29000000,"CM, CAM, CDM",LCM,81+3,78+3,78+3,80+3,79+3,79+3,80+3,78+3,79+3,78+3,77.6,76.3
148,188377,K. Walker,Manchester City,84,25500000,RB,RB,73+3,75+3,75+3,74+3,77+3,77+3,79+3,82+3,80+3,82+3,68.2,81.7
149,190286,Canales,Real Betis,84,31500000,"CAM, CM, CF",RCM,76+2,81+2,81+2,82+2,81+2,81+2,67+2,64+2,56+2,64+2,70.4,50.0
150,190483,Douglas Costa,Juventus,84,31500000,"LM, RW, LW",SUB,76+3,83+3,83+3,82+3,82+3,82+3,62+3,63+3,52+3,63+3,71.0,39.0
151,197965,Pizzi,SL Benfica,84,30500000,"RM, CM",RM,75+3,81+3,81+3,82+3,82+3,82+3,75+3,71+3,65+3,71+3,73.0,61.3
152,199434,D. Tadić,Ajax,84,29500000,"CAM, LW, ST",ST,79+3,82+3,82+3,83+3,82+3,82+3,63+3,59+3,52+3,59+3,79.2,36.0
153,200647,J. Iličić,Atalanta,84,28000000,"CF, ST",RS,80+3,82+3,82+3,84+3,82+3,82+3,63+3,59+3,52+3,59+3,77.4,37.0
154,204485,R. Mahrez,Manchester City,84,31500000,"RW, RM",SUB,76+3,83+3,83+3,82+3,82+3,82+3,59+3,58+3,47+3,58+3,72.0,32.7
155,205678,E. Višća,Medipol Başakşehir FK,84,30500000,"RM, RW",RM,76+2,82+2,82+2,81+2,82+2,82+2,64+2,65+2,54+2,65+2,72.8,45.0
156,207863,Felipe,Atlético Madrid,84,25000000,CB,LCB,56+3,55+3,55+3,57+3,58+3,58+3,76+3,74+3,82+3,74+3,56.2,83.3
157,226271,Fabián,Napoli,83,36000000,"CM, CDM, CAM",LCM,77+2,79+2,79+2,81+2,79+2,79+2,77+2,74+2,73+2,74+2,73.2,74.3
158,210413,A. Romagnoli,Milan,83,32000000,CB,LCB,56+2,55+2,55+2,58+2,58+2,58+2,77+2,74+2,81+2,74+2,48.6,85.3
159,226226,G. Lo Celso,Tottenham Hotspur,83,35000000,"CM, CAM, CF",SUB,77+2,81+2,81+2,82+2,81+2,81+2,75+2,72+2,68+2,72+2,73.4,63.3
160,231281,T. Alexander-Arnold,Liverpool,83,32000000,RB,RB,71+2,76+2,76+2,76+2,78+2,78+2,79+2,80+2,76+2,80+2,68.6,79.3
161,232432,L. Jović,Real Madrid,83,36500000,ST,SUB,81+2,78+2,78+2,77+2,77+2,77+2,53+2,51+2,47+2,51+2,78.0,22.3
162,205175,A. Milik,Napoli,83,35000000,ST,RS,80+3,74+3,74+3,73+3,72+3,72+3,55+3,54+3,52+3,54+3,74.0,33.7
163,211300,A. Martial,Manchester United,83,34500000,"LW, ST, LM",ST,81+3,82+3,82+3,80+3,80+3,80+3,59+3,60+3,54+3,60+3,75.0,36.3
164,212523,Anderson Talisca,Guangzhou Evergrande Taobao FC,83,34500000,"CAM, RW",RW,80+2,80+2,80+2,81+2,80+2,80+2,69+2,66+2,63+2,66+2,77.8,51.3
165,213331,J. Tah,Bayer 04 Leverkusen,83,31000000,CB,RCB,52+2,52+2,52+2,57+2,57+2,57+2,76+2,73+2,81+2,73+2,46.8,84.7
166,219683,C. Tolisso,FC Bayern München,83,34000000,"CM, CDM",RCM,78+2,77+2,77+2,79+2,77+2,77+2,80+2,76+2,77+2,76+2,74.0,74.7
167,221087,Pau López,Roma,83,26000000,GK,GK,,,,,,,,,,,22.6,16.7
168,224411,Gonçalo Guedes,Valencia CF,83,34500000,"LM, ST",LM,78+2,81+2,81+2,80+2,80+2,80+2,60+2,59+2,51+2,59+2,72.6,29.3
169,226110,N. Pépé,Arsenal,83,34500000,"RM, RW, ST",RM,79+2,82+2,82+2,81+2,81+2,81+2,55+2,57+2,46+2,57+2,72.4,29.3
170,229237,M. Akanji,Borussia Dortmund,83,31000000,CB,RCB,62+2,64+2,64+2,66+2,67+2,67+2,79+2,77+2,81+2,77+2,58.0,82.7
171,231677,M. Rashford,Manchester United,83,35500000,"ST, LM",LM,81+2,82+2,82+2,80+2,81+2,81+2,62+2,62+2,57+2,62+2,75.6,40.0
172,203574,J. Stones,Manchester City,83,30000000,CB,RCB,59+2,64+2,64+2,67+2,68+2,68+2,80+2,78+2,81+2,78+2,56.6,84.0
173,210008,A. Rabiot,Juventus,83,33000000,"CM, CDM",LCM,77+2,77+2,77+2,79+2,78+2,78+2,80+2,77+2,78+2,77+2,74.6,75.3
174,210035,Grimaldo,SL Benfica,83,29500000,LB,LB,72+3,78+3,78+3,77+3,79+3,79+3,78+3,81+3,74+3,81+3,67.6,77.3
